From	To
P56856	ENSP00000183605
P56856	ENSP00000340939
Q8N6F1	ENSP00000296387
Q8N6F1	ENSP00000361617
Q8N6F1	ENSP00000443229
O15409	ENSP00000265436
O15409	ENSP00000353367
O15409	ENSP00000367482
O15409	ENSP00000377129
O15409	ENSP00000377132
O15409	ENSP00000385069
O15409	ENSP00000386200
O15409	ENSP00000405470
O15409	ENSP00000416825
O15409	ENSP00000489457
Q8WXE1	ENSP00000323099
Q8WXE1	ENSP00000302338
Q8WXE1	ENSP00000349620
Q8WXE1	ENSP00000400930
P52799	ENSP00000493716
O43921	ENSP00000215368
P52803	ENSP00000328777
P52798	ENSP00000352789
P52798	ENSP00000357394
P52798	ENSP00000414378
Q2NKJ3	ENSP00000396018
Q2NKJ3	ENSP00000498499
Q86WV5	ENSP00000380762
P00403	ENSP00000354876
O60841	ENSP00000289371
O15247	ENSP00000358460
A0FGR8	ENSP00000499020
P00367	ENSP00000277865
O14737	ENSP00000476525
O14737	ENSP00000466214
O94905	ENSP00000335220
O94905	ENSP00000427847
O94905	ENSP00000428112
O94905	ENSP00000473292
O94905	ENSP00000429903
O94905	ENSP00000497100
O75396	ENSP00000463393
O00425	ENSP00000258729
O00425	ENSP00000480267
O15160	ENSP00000307212
O15160	ENSP00000496683
O15160	ENSP00000496044
O14950	ENSP00000237500
O14950	ENSP00000383037
O14950	ENSP00000463559
O14950	ENSP00000464464
O14950	ENSP00000496809
O00186	ENSP00000359025
O95456	ENSP00000329915
O95456	ENSP00000370286
P06899	ENSP00000342886
P06899	ENSP00000476136
O95721	ENSP00000215730
P21754	ENSP00000337310
P21754	ENSP00000378326
O94776	ENSP00000278823
O94776	ENSP00000431346
O94776	ENSP00000431797
O95718	ENSP00000370270
O95718	ENSP00000423004
O95718	ENSP00000422488
Q8NEY8	ENSP00000351066
Q8NEY8	ENSP00000378935
Q8NEY8	ENSP00000378947
Q8NEY8	ENSP00000393965
Q8NEY8	ENSP00000390681
Q8NEY8	ENSP00000449331
Q8NEY8	ENSP00000479913
Q8NEY8	ENSP00000478872
Q8NEY8	ENSP00000477681
Q9Y371	ENSP00000473267
Q9Y371	ENSP00000418744
Q9Y371	ENSP00000441355
O94874	ENSP00000358283
O00237	ENSP00000237455
O43164	ENSP00000354775
O43164	ENSP00000355284
O95628	ENSP00000326731
O95628	ENSP00000354673
O95628	ENSP00000416532
O95628	ENSP00000406777
O95628	ENSP00000399108
O95628	ENSP00000388491
O95628	ENSP00000445508
O94822	ENSP00000354977
O94822	ENSP00000373846
O94822	ENSP00000478783
Q969V5	ENSP00000264198
Q86UW7	ENSP00000400401
Q86UW7	ENSP00000398481
Q86Y01	ENSP00000257600
Q14139	ENSP00000252108
Q14139	ENSP00000387362
Q9P0P0	ENSP00000306906
Q13233	ENSP00000382423
Q96G75	ENSP00000320623
Q96G75	ENSP00000420875
Q86XS8	ENSP00000261947
Q86XS8	ENSP00000430237
Q9ULK6	ENSP00000304321
Q9ULK6	ENSP00000394581
Q9ULK6	ENSP00000425568
Q9ULK6	ENSP00000425840
Q6ZSG1	ENSP00000269439
Q6ZSG1	ENSP00000444285
Q9H6Y7	ENSP00000262482
Q9H6Y7	ENSP00000459324
Q9H6Y7	ENSP00000458794
Q9H6Y7	ENSP00000460190
Q9NS56	ENSP00000353735
Q9NS56	ENSP00000369187
Q96PU4	ENSP00000276893
Q96PU4	ENSP00000434182
Q8WWF5	ENSP00000222033
O75382	ENSP00000340797
O75382	ENSP00000352508
O75382	ENSP00000433102
O75382	ENSP00000445460
O76050	ENSP00000358795
Q5M7Z0	ENSP00000304670
Q5M7Z0	ENSP00000436144
O15541	ENSP00000360497
O15164	ENSP00000340507
O15164	ENSP00000390829
Q13263	ENSP00000253024
Q13263	ENSP00000342232
Q8N8N0	ENSP00000316628
Q9H4P4	ENSP00000342755
Q9H4P4	ENSP00000377581
Q9H4P4	ENSP00000447303
Q9H4P4	ENSP00000484671
Q9H832	ENSP00000354201
Q14527	ENSP00000308944
Q14527	ENSP00000376644
Q14527	ENSP00000420429
Q8WU17	ENSP00000304051
A1X283	ENSP00000309714
O95049	ENSP00000439991
O95049	ENSP00000439278
O95049	ENSP00000467864
O95049	ENSP00000465419
A6NJZ7	ENSP00000390630
Q38SD2	ENSP00000373600
Q38SD2	ENSP00000433268
Q02750	ENSP00000302486
Q13563	ENSP00000237596
P49257	ENSP00000251047
Q9HCK8	ENSP00000382863
Q9HCK8	ENSP00000406288
Q9HCK8	ENSP00000451601
Q9HCK8	ENSP00000495070
Q9HCK8	ENSP00000494402
Q9HCK8	ENSP00000495240
P18146	ENSP00000239938
O00763	ENSP00000341044
O00763	ENSP00000367079
P50747	ENSP00000338387
P50747	ENSP00000382071
P50747	ENSP00000479939
O75147	ENSP00000362980
O75147	ENSP00000385636
O75147	ENSP00000474519
P00740	ENSP00000218099
P00740	ENSP00000377650
P35968	ENSP00000263923
D3W0D1	ENSP00000438244
Q7Z434	ENSP00000413749
Q7Z434	ENSP00000401980
Q9BT43	ENSP00000358320
O15318	ENSP00000382058
O15318	ENSP00000421637
O15318	ENSP00000498469
P01116	ENSP00000256078
P01116	ENSP00000308495
Q96BT7	ENSP00000260318
Q96BT7	ENSP00000374219
Q96BT7	ENSP00000397673
Q96BT7	ENSP00000415885
Q96BT7	ENSP00000391225
Q9BSA4	ENSP00000269346
Q9BSA4	ENSP00000394576
Q96F24	ENSP00000277746
Q96F24	ENSP00000397502
Q96EY4	ENSP00000351380
Q66PJ3	ENSP00000313422
Q66PJ3	ENSP00000376230
Q66PJ3	ENSP00000414847
Q66PJ3	ENSP00000396723
Q66PJ3	ENSP00000442718
Q13371	ENSP00000259467
Q6P582	ENSP00000311500
O15488	ENSP00000487294
O15488	ENSP00000370555
O15488	ENSP00000381786
Q9NPF8	ENSP00000329468
Q9Y383	ENSP00000263545
Q9Y383	ENSP00000347005
Q9Y383	ENSP00000441604
Q9Y383	ENSP00000483438
Q96P71	ENSP00000246190
Q96P71	ENSP00000364386
Q9NWB6	ENSP00000383059
Q86V59	ENSP00000318131
Q86V59	ENSP00000410273
Q9BZ67	ENSP00000319726
Q9BZ67	ENSP00000348270
Q9BZ67	ENSP00000392111
Q9UHD8	ENSP00000329161
Q9UHD8	ENSP00000405877
Q9UHD8	ENSP00000391249
Q9UHD8	ENSP00000415624
Q9UHD8	ENSP00000403194
Q9UHD8	ENSP00000406987
Q9UHD8	ENSP00000400181
Q9UHD8	ENSP00000438089
Q9UHD8	ENSP00000468120
Q9UHD8	ENSP00000468668
Q9UHD8	ENSP00000465464
Q9UHD8	ENSP00000466247
Q9UHD8	ENSP00000468406
Q9UHD8	ENSP00000466648
Q96NL6	ENSP00000281142
Q96NL6	ENSP00000395292
Q96NL6	ENSP00000420861
Q6P2C6	ENSP00000479605
Q6P2C6	ENSP00000482928
P52333	ENSP00000391676
P52333	ENSP00000432511
P52333	ENSP00000436421
Q02763	ENSP00000369375
Q02763	ENSP00000383977
Q02763	ENSP00000430686
Q7Z6K4	ENSP00000349041
A0MZ66	ENSP00000260777
A0MZ66	ENSP00000347532
A0MZ66	ENSP00000376635
A0MZ66	ENSP00000376636
A0MZ66	ENSP00000480109
Q02045	ENSP00000383023
Q02045	ENSP00000423118
Q02045	ENSP00000427153
Q02045	ENSP00000425162
Q96SB4	ENSP00000362931
Q96SB4	ENSP00000391069
P36888	ENSP00000241453
P54764	ENSP00000281821
P54764	ENSP00000386829
O60711	ENSP00000378512
O60711	ENSP00000431284
P53355	ENSP00000350785
P53355	ENSP00000386135
P53355	ENSP00000418885
P53355	ENSP00000417076
P53355	ENSP00000419026
P53355	ENSP00000484267
Q9Y5S9	ENSP00000358313
Q9Y5S9	ENSP00000463058
Q9Y5S9	ENSP00000488265
O00141	ENSP00000237305
O00141	ENSP00000356831
O00141	ENSP00000356832
O00141	ENSP00000396242
O00141	ENSP00000434450
Q06418	ENSP00000263798
P56211	ENSP00000249822
P56211	ENSP00000454234
P56211	ENSP00000455986
P56211	ENSP00000457631
P56211	ENSP00000455625
P56211	ENSP00000455151
P56211	ENSP00000457805
P56211	ENSP00000454297
Q9P1W9	ENSP00000365692
Q9UMR2	ENSP00000288071
Q9UMR2	ENSP00000348271
Q9UMR2	ENSP00000377267
Q9UMR2	ENSP00000392639
Q9UMR2	ENSP00000456574
Q9UMR2	ENSP00000456757
Q9NZU5	ENSP00000157600
Q9NZU5	ENSP00000396515
P42696	ENSP00000386226
Q9BWX1	ENSP00000333024
Q9BWX1	ENSP00000246282
Q9BWX1	ENSP00000480003
Q9P0N9	ENSP00000343100
Q9P0N9	ENSP00000348813
Q9P0N9	ENSP00000368602
Q9P0N9	ENSP00000368609
Q9P0N9	ENSP00000475727
Q9NX24	ENSP00000274606
A1E959	ENSP00000379401
Q9NWM3	ENSP00000353373
Q9NWM3	ENSP00000384712
Q9NWM3	ENSP00000462717
Q9NW61	ENSP00000318075
Q9NW61	ENSP00000465391
Q9NUJ3	ENSP00000335595
Q9NUJ3	ENSP00000395070
Q9NUJ3	ENSP00000433067
Q8WWU5	ENSP00000244645
Q8WWU5	ENSP00000308708
Q8WWU5	ENSP00000363085
Q8WWU5	ENSP00000363091
Q8WWU5	ENSP00000402816
Q8WWU5	ENSP00000415320
Q8WWU5	ENSP00000404479
Q8WWU5	ENSP00000425995
Q8WWU5	ENSP00000478603
Q6DCA0	ENSP00000272647
Q6DCA0	ENSP00000376726
Q9NSK7	ENSP00000313332
Q9NSK7	ENSP00000376102
Q9NSK7	ENSP00000376103
Q9NSK7	ENSP00000467117
Q9NSK7	ENSP00000482097
Q9NSK7	ENSP00000485413
Q9BR61	ENSP00000356567
Q9BR61	ENSP00000495710
Q8WZA0	ENSP00000366418
Q8WZA0	ENSP00000366430
Q8WZA0	ENSP00000383695
Q969D9	ENSP00000339804
Q969D9	ENSP00000427827
Q8TDR4	ENSP00000300258
Q8N8B7	ENSP00000369974
Q8N8B7	ENSP00000440038
Q96NT1	ENSP00000320488
P32298	ENSP00000264764
P32298	ENSP00000381128
P32298	ENSP00000381129
P32298	ENSP00000427445
P05771	ENSP00000318315
P05771	ENSP00000496129
P05937	ENSP00000265431
P05937	ENSP00000429602
Q9HC62	ENSP00000296257
Q96AX1	ENSP00000267199
P23193	ENSP00000395483
P23193	ENSP00000428426
O94992	ENSP00000328773
A4FU49	ENSP00000403476
A4FU49	ENSP00000421294
O15511	ENSP00000294742
O15511	ENSP00000352918
Q9H3D4	ENSP00000264731
Q9H3D4	ENSP00000317510
Q9H3D4	ENSP00000346614
Q9H3D4	ENSP00000376253
Q9H3D4	ENSP00000376254
Q9H3D4	ENSP00000376256
Q9H3D4	ENSP00000407144
Q9H3D4	ENSP00000392488
Q9H3D4	ENSP00000394337
Q9H3D4	ENSP00000387839
Q9H3D4	ENSP00000389485
P42568	ENSP00000369695
P42568	ENSP00000485996
Q03111	ENSP00000252674
P51825	ENSP00000305689
P51825	ENSP00000378578
O14798	ENSP00000349324
P50591	ENSP00000241261
P50591	ENSP00000389931
P35250	ENSP00000055077
P35250	ENSP00000275627
Q5T848	ENSP00000365529
P22694	ENSP00000359716
P22694	ENSP00000359719
P22694	ENSP00000359722
P22694	ENSP00000359723
P22694	ENSP00000378315
P22694	ENSP00000401252
P22694	ENSP00000481980
P22694	ENSP00000479722
O43815	ENSP00000263918
O43815	ENSP00000368513
O15394	ENSP00000383392
P09132	ENSP00000282999
P09132	ENSP00000424870
P09132	ENSP00000425562
O94880	ENSP00000385795
Q5T200	ENSP00000242848
Q5T200	ENSP00000282007
O43491	ENSP00000338481
O43491	ENSP00000357110
O43491	ENSP00000376222
O43491	ENSP00000402041
O43491	ENSP00000432803
O43491	ENSP00000434308
O43491	ENSP00000434576
P18859	ENSP00000284971
P18859	ENSP00000382959
P18859	ENSP00000382962
P18859	ENSP00000382965
P18859	ENSP00000382966
P18859	ENSP00000389649
P68366	ENSP00000248437
P68366	ENSP00000375938
Q14114	ENSP00000303634
Q14114	ENSP00000334522
Q14114	ENSP00000346391
Q14114	ENSP00000360509
Q15532	ENSP00000269137
Q15532	ENSP00000414516
P10588	ENSP00000291442
P13797	ENSP00000289290
P13797	ENSP00000348163
P13797	ENSP00000445339
P43354	ENSP00000344479
P43354	ENSP00000386747
P43354	ENSP00000389986
O60313	ENSP00000354781
O60313	ENSP00000355324
O60313	ENSP00000354429
O60313	ENSP00000354681
O60313	ENSP00000376232
O60313	ENSP00000494512
O60476	ENSP00000348959
P04179	ENSP00000337127
P04179	ENSP00000356021
P04179	ENSP00000356022
P04179	ENSP00000404804
P04179	ENSP00000446252
P09669	ENSP00000297564
P09669	ENSP00000429714
P09669	ENSP00000429755
P09669	ENSP00000428150
P09669	ENSP00000428895
P09669	ENSP00000429991
P09669	ENSP00000428702
P09669	ENSP00000428965
P09669	ENSP00000429707
P09669	ENSP00000429410
P35232	ENSP00000300408
P35232	ENSP00000425035
P35232	ENSP00000479488
P35232	ENSP00000484113
O14672	ENSP00000260408
P38646	ENSP00000297185
P78344	ENSP00000492820
O95197	ENSP00000344106
O95197	ENSP00000340903
O95197	ENSP00000346492
O95197	ENSP00000348279
O95197	ENSP00000367050
O95197	ENSP00000440874
O95197	ENSP00000442733
Q8N183	ENSP00000296597
A1L162	ENSP00000387298
O95391	ENSP00000297151
O60242	ENSP00000359630
O60242	ENSP00000441821
O75746	ENSP00000388658
Q06710	ENSP00000263334
Q06710	ENSP00000263335
Q06710	ENSP00000314750
Q06710	ENSP00000380768
Q06710	ENSP00000395498
Q9BQ75	ENSP00000410396
Q9BQ75	ENSP00000419161
Q96JM4	ENSP00000376910
Q9HCC6	ENSP00000304595
Q4VNC1	ENSP00000295548
Q4VNC1	ENSP00000339182
Q4VNC1	ENSP00000383129
P24534	ENSP00000236957
P24534	ENSP00000376055
P24534	ENSP00000376056
P24534	ENSP00000489993
P24534	ENSP00000490326
P24534	ENSP00000490214
Q8WX92	ENSP00000489248
O00533	ENSP00000256509
O00533	ENSP00000380628
P28702	ENSP00000363812
P28702	ENSP00000363817
P28702	ENSP00000372703
P28702	ENSP00000372704
P28702	ENSP00000402506
P28702	ENSP00000410468
P28702	ENSP00000393286
P28702	ENSP00000411238
P28702	ENSP00000415199
P28702	ENSP00000402590
P28702	ENSP00000400104
P28702	ENSP00000393870
Q13951	ENSP00000290858
Q13951	ENSP00000415151
O60861	ENSP00000322608
O60861	ENSP00000407552
O60861	ENSP00000410108
O60861	ENSP00000443265
O60861	ENSP00000463527
O60861	ENSP00000463873
O60861	ENSP00000464240
Q12800	ENSP00000257915
Q12800	ENSP00000447991
Q06413	ENSP00000340874
Q06413	ENSP00000389610
Q06413	ENSP00000396219
Q06413	ENSP00000421925
Q06413	ENSP00000423597
Q06413	ENSP00000424606
Q06413	ENSP00000426665
Q06413	ENSP00000487430
Q06413	ENSP00000487311
Q06413	ENSP00000486554
Q06413	ENSP00000490473
Q06413	ENSP00000490630
Q06413	ENSP00000490241
O00767	ENSP00000359380
O15075	ENSP00000255448
O15075	ENSP00000353846
O15075	ENSP00000369223
O15075	ENSP00000484452
O15083	ENSP00000288221
O15083	ENSP00000417445
O15083	ENSP00000483127
O75618	ENSP00000356985
O75618	ENSP00000414821
O75618	ENSP00000476946
O75618	ENSP00000445835
O60337	ENSP00000274140
O60337	ENSP00000414643
O60337	ENSP00000425930
O95789	ENSP00000326695
O95789	ENSP00000349708
O95789	ENSP00000362430
P21283	ENSP00000379203
P21283	ENSP00000430282
P05026	ENSP00000356789
P05026	ENSP00000356790
P05060	ENSP00000368244
Q05519	ENSP00000359988
Q05519	ENSP00000359989
O60308	ENSP00000367468
O60308	ENSP00000367476
P20962	ENSP00000310088
P20962	ENSP00000478828
O14576	ENSP00000320130
O14576	ENSP00000352348
O14576	ENSP00000398118
O14576	ENSP00000392337
O14576	ENSP00000412444
O14576	ENSP00000486363
O15197	ENSP00000376684
O15197	ENSP00000410789
P00441	ENSP00000270142
P14136	ENSP00000403962
P14136	ENSP00000466598
P14136	ENSP00000491088
Q14240	ENSP00000326381
Q14240	ENSP00000398370
P32969	ENSP00000346022
P32969	ENSP00000400467
P32969	ENSP00000494697
Q13595	ENSP00000297071
Q13595	ENSP00000376290
Q13595	ENSP00000441116
Q13595	ENSP00000480822
P62847	ENSP00000361435
P62847	ENSP00000414321
P62847	ENSP00000494231
P62847	ENSP00000478869
C9JCN9	ENSP00000414236
P42766	ENSP00000259469
P29692	ENSP00000317399
P29692	ENSP00000378551
P29692	ENSP00000388261
P29692	ENSP00000410059
P29692	ENSP00000391944
P29692	ENSP00000435697
P29692	ENSP00000436507
P29692	ENSP00000431763
P29692	ENSP00000434872
P29692	ENSP00000478340
P29692	ENSP00000479653
P29692	ENSP00000483527
P29692	ENSP00000477608
P29692	ENSP00000480505
P29692	ENSP00000488672
P29692	ENSP00000487680
P29692	ENSP00000488026
P29692	ENSP00000488275
O95352	ENSP00000346437
O95352	ENSP00000347042
O95352	ENSP00000412580
P14625	ENSP00000299767
P47869	ENSP00000348897
P47869	ENSP00000371033
P47869	ENSP00000421828
P47869	ENSP00000421300
O43920	ENSP00000362058
O43920	ENSP00000362060
O14647	ENSP00000377747
O14647	ENSP00000406581
O14647	ENSP00000486629
O75347	ENSP00000306362
O75347	ENSP00000369736
Q03701	ENSP00000234170
P61019	ENSP00000262646
P61019	ENSP00000431846
P30101	ENSP00000300289
P05023	ENSP00000295598
P05023	ENSP00000358508
P05023	ENSP00000445306
O95573	ENSP00000350012
O95573	ENSP00000375918
O94886	ENSP00000355800
O60293	ENSP00000368017
O60293	ENSP00000450044
O60293	ENSP00000446995
P55809	ENSP00000196371
P55809	ENSP00000423144
P55809	ENSP00000421143
P42338	ENSP00000289153
P42338	ENSP00000418143
P52736	ENSP00000346090
P52736	ENSP00000366899
P52736	ENSP00000400897
P52736	ENSP00000383945
P52736	ENSP00000385279
P52736	ENSP00000481326
P52736	ENSP00000487315
P52736	ENSP00000485741
P20823	ENSP00000443964
P20823	ENSP00000445445
P20823	ENSP00000440361
Q15651	ENSP00000275036
Q15651	ENSP00000341267
P84996	ENSP00000302237
P05423	ENSP00000303088
P05423	ENSP00000380904
P20309	ENSP00000255380
P20309	ENSP00000482377
P48443	ENSP00000352900
Q13435	ENSP00000318861
P56385	ENSP00000306003
P35637	ENSP00000254108
P35637	ENSP00000369594
P49207	ENSP00000378160
P49207	ENSP00000378162
P49207	ENSP00000378163
P49207	ENSP00000423983
P49207	ENSP00000423316
P31629	ENSP00000012134
P31629	ENSP00000356575
P31629	ENSP00000356576
A6NK53	ENSP00000375820
P61254	ENSP00000463470
P61254	ENSP00000462322
P61254	ENSP00000463784
P61254	ENSP00000498177
Q15672	ENSP00000242261
Q99551	ENSP00000248643
Q01105	ENSP00000318012
Q01105	ENSP00000361771
Q01105	ENSP00000361777
Q01105	ENSP00000387321
Q5F1R6	ENSP00000371451
Q5F1R6	ENSP00000496545
Q5F1R6	ENSP00000497410
P22033	ENSP00000274813
P25398	ENSP00000230050
P51665	ENSP00000219313
P55039	ENSP00000225729
P12236	ENSP00000370808
P19367	ENSP00000298649
P19367	ENSP00000352398
P19367	ENSP00000353433
P19367	ENSP00000415949
P19367	ENSP00000402103
P19367	ENSP00000494664
O14949	ENSP00000367934
O14949	ENSP00000367936
O14949	ENSP00000367939
Q8IX21	ENSP00000238961
Q8IX21	ENSP00000359292
Q8IX21	ENSP00000476379
P61513	ENSP00000418082
O95847	ENSP00000360398
O95847	ENSP00000412024
O15068	ENSP00000364747
O15068	ENSP00000364754
O15068	ENSP00000364758
O15068	ENSP00000380225
O15068	ENSP00000397285
O15068	ENSP00000440374
P51991	ENSP00000376309
P51991	ENSP00000408487
P51991	ENSP00000416340
O75683	ENSP00000361092
O75683	ENSP00000485909
O15027	ENSP00000325827
P10620	ENSP00000010404
P10620	ENSP00000379510
P10620	ENSP00000379512
P10620	ENSP00000379513
P10620	ENSP00000438308
O43583	ENSP00000280557
O14810	ENSP00000305613
Q02388	ENSP00000332371
P00390	ENSP00000221130
P00390	ENSP00000438845
P00390	ENSP00000444559
P00390	ENSP00000445516
Q99608	ENSP00000497916
O00139	ENSP00000370493
O00139	ENSP00000385622
O00139	ENSP00000385000
O00139	ENSP00000423772
P82673	ENSP00000081029
P82673	ENSP00000445390
O43709	ENSP00000265758
O43709	ENSP00000401191
P62888	ENSP00000287038
P62888	ENSP00000428085
P05387	ENSP00000322419
P05387	ENSP00000431240
P0C0L4	ENSP00000372815
P0C0L4	ENSP00000388662
P0C0L4	ENSP00000396688
P0C0L4	ENSP00000420212
Q7KZI7	ENSP00000294247
Q7KZI7	ENSP00000355091
Q7KZI7	ENSP00000385751
Q7KZI7	ENSP00000386128
Q7KZI7	ENSP00000425765
Q7KZI7	ENSP00000423974
Q7KZI7	ENSP00000421075
Q9BS18	ENSP00000346987
Q9BS18	ENSP00000421842
Q9BS18	ENSP00000421760
Q9BS18	ENSP00000427327
P51449	ENSP00000327025
P51449	ENSP00000349164
P41180	ENSP00000420194
P41180	ENSP00000492190
P41180	ENSP00000491584
P28562	ENSP00000239223
P36952	ENSP00000372221
P36952	ENSP00000467158
O60494	ENSP00000367064
Q9NSD9	ENSP00000281828
Q14623	ENSP00000295731
P78539	ENSP00000367794
P78539	ENSP00000411165
P78539	ENSP00000445034
P78539	ENSP00000440758
Q5T7V8	ENSP00000356736
Q5T7V8	ENSP00000356737
P29034	ENSP00000357697
P29034	ENSP00000357698
P29034	ENSP00000357699
P29034	ENSP00000473260
P28328	ENSP00000349543
P28328	ENSP00000428590
P28328	ENSP00000428638
O75192	ENSP00000300056
O75192	ENSP00000453492
O75934	ENSP00000358554
Q96GM5	ENSP00000370924
Q96GM5	ENSP00000378414
O43660	ENSP00000303191
O43660	ENSP00000424417
P0CAP1	ENSP00000267853
P0CAP1	ENSP00000369939
Q8TDN4	ENSP00000256925
Q8TDN4	ENSP00000383321
Q8TDN4	ENSP00000413851
O95863	ENSP00000244050
O00180	ENSP00000355580
O15143	ENSP00000403211
O15143	ENSP00000398110
O15143	ENSP00000389631
O15143	ENSP00000410238
O15143	ENSP00000388802
O15143	ENSP00000494033
O15143	ENSP00000496599
P39905	ENSP00000317145
P39905	ENSP00000339703
P39905	ENSP00000371248
P39905	ENSP00000409007
P39905	ENSP00000425928
P39905	ENSP00000478722
P02452	ENSP00000225964
P04908	ENSP00000303373
P04908	ENSP00000483842
Q15116	ENSP00000335062
Q15116	ENSP00000480684
Q9BQ51	ENSP00000380855
Q86V97	ENSP00000368799
O94817	ENSP00000425164
O94817	ENSP00000425107
Q9GZZ9	ENSP00000264991
Q9GZZ9	ENSP00000348565
Q9GZZ9	ENSP00000418807
P50749	ENSP00000368684
P50749	ENSP00000368710
Q9NR46	ENSP00000361634
Q9NR46	ENSP00000361640
Q9NR46	ENSP00000361645
Q676U5	ENSP00000318259
Q676U5	ENSP00000362625
Q676U5	ENSP00000375872
Q676U5	ENSP00000375875
Q676U5	ENSP00000487542
Q676U5	ENSP00000487298
Q676U5	ENSP00000487446
Q676U5	ENSP00000487455
Q66K74	ENSP00000325313
Q66K74	ENSP00000439243
Q9UGJ0	ENSP00000287878
Q9UGJ0	ENSP00000376549
Q9UGJ0	ENSP00000387386
Q9UGJ0	ENSP00000419493
Q9UGJ0	ENSP00000499103
Q9UGJ0	ENSP00000498796
Q9UGJ0	ENSP00000499025
Q9H492	ENSP00000353886
Q9H492	ENSP00000363970
Q9H492	ENSP00000380821
Q7Z6L1	ENSP00000404923
Q8IVP5	ENSP00000367284
Q8IZQ1	ENSP00000295888
Q7L1V2	ENSP00000248248
Q7L1V2	ENSP00000444881
Q9UHA4	ENSP00000226522
Q9UHA4	ENSP00000424183
P49840	ENSP00000222330
P49840	ENSP00000412663
P83876	ENSP00000269601
Q16288	ENSP00000318328
Q16288	ENSP00000347397
Q16288	ENSP00000350356
Q16288	ENSP00000354207
Q16288	ENSP00000377990
Q16288	ENSP00000444673
Q16288	ENSP00000453959
Q16288	ENSP00000485864
P43357	ENSP00000359301
P43357	ENSP00000473093
Q8NG27	ENSP00000355014
Q8NG27	ENSP00000363699
Q8NG27	ENSP00000363711
Q8NG27	ENSP00000363712
Q96E14	ENSP00000310356
Q96E14	ENSP00000461206
P01040	ENSP00000264474
P20807	ENSP00000336840
P20807	ENSP00000183936
P20807	ENSP00000348667
P20807	ENSP00000350181
P20807	ENSP00000380349
P20807	ENSP00000380384
P20807	ENSP00000380387
P20807	ENSP00000455254
P25440	ENSP00000363958
P25440	ENSP00000363964
P25440	ENSP00000372588
P25440	ENSP00000378702
P25440	ENSP00000382443
P25440	ENSP00000382444
P25440	ENSP00000382445
P25440	ENSP00000391246
P25440	ENSP00000405634
P25440	ENSP00000401791
P25440	ENSP00000410994
P25440	ENSP00000412885
P25440	ENSP00000409145
P25440	ENSP00000399009
P25440	ENSP00000449380
P25440	ENSP00000449609
P00918	ENSP00000285379
P08571	ENSP00000304236
P08571	ENSP00000385519
P35052	ENSP00000264039
Q92797	ENSP00000245934
A4D1B5	ENSP00000257626
P05165	ENSP00000365456
P05165	ENSP00000365462
P05165	ENSP00000365463
Q96AE4	ENSP00000294623
Q96AE4	ENSP00000359804
Q13557	ENSP00000296402
Q13557	ENSP00000339740
Q13557	ENSP00000369098
Q13557	ENSP00000378030
Q13557	ENSP00000378032
Q13557	ENSP00000422566
Q13557	ENSP00000423482
O95832	ENSP00000295522
O95471	ENSP00000353475
O95471	ENSP00000396638
O95471	ENSP00000500460
O95471	ENSP00000500298
O14493	ENSP00000342445
O14493	ENSP00000388639
O14493	ENSP00000409544
P09758	ENSP00000360269
P36941	ENSP00000228918
P36941	ENSP00000440875
P12882	ENSP00000226207
Q96DD0	ENSP00000344470
Q96DD0	ENSP00000359156
Q96DD0	ENSP00000359157
Q96DD0	ENSP00000480740
P13533	ENSP00000386041
Q8IZA0	ENSP00000318406
P37058	ENSP00000364411
P37058	ENSP00000364412
O15438	ENSP00000285238
O15438	ENSP00000395160
O15438	ENSP00000427073
O15438	ENSP00000427521
O15484	ENSP00000432332
O15484	ENSP00000467244
O15484	ENSP00000498132
P08133	ENSP00000346550
P08133	ENSP00000430517
O60645	ENSP00000323377
O60645	ENSP00000425587
P36955	ENSP00000254722
O43688	ENSP00000269812
O43688	ENSP00000329697
O43688	ENSP00000388565
P14778	ENSP00000386380
P27930	ENSP00000330959
P27930	ENSP00000377066
P27930	ENSP00000414611
O00463	ENSP00000261464
O00463	ENSP00000336825
O00463	ENSP00000355971
P13646	ENSP00000246635
P13646	ENSP00000336604
O94910	ENSP00000340688
O94910	ENSP00000355328
O94910	ENSP00000500240
O94910	ENSP00000500478
O15020	ENSP00000311489
O15020	ENSP00000433593
O15020	ENSP00000432568
A8CG34	ENSP00000476236
A8CG34	ENSP00000481575
O14613	ENSP00000279249
O14613	ENSP00000431660
P05814	ENSP00000341030
P05814	ENSP00000489488
O60879	ENSP00000321348
O60879	ENSP00000362140
B2RTY4	ENSP00000348349
B2RTY4	ENSP00000399162
B2RTY4	ENSP00000398250
O96013	ENSP00000326864
O96013	ENSP00000351049
O96013	ENSP00000353625
O96013	ENSP00000469413
O96013	ENSP00000471157
O96013	ENSP00000470284
P52306	ENSP00000264572
P52306	ENSP00000340454
P52306	ENSP00000369503
P52306	ENSP00000386223
P52306	ENSP00000386153
P52306	ENSP00000407157
P06702	ENSP00000357727
P35221	ENSP00000304669
P35221	ENSP00000438476
P35749	ENSP00000300036
P35749	ENSP00000379616
P35749	ENSP00000407821
P35749	ENSP00000458731
P35749	ENSP00000478092
P35749	ENSP00000478816
P35749	ENSP00000478109
P35749	ENSP00000488461
P03928	ENSP00000355265
P42694	ENSP00000351524
P42694	ENSP00000463727
P15941	ENSP00000338983
P15941	ENSP00000342814
P15941	ENSP00000339690
